SITE CODE= EEB熊本西区春日              ,32.7755,130.8495,  8,5.8,42474.9219329,  3.09,  5.24
 LAT.=   32.7866
 LON.=  130.6876
 SAMPLING RATE= 100Hz
 UNIT  = gal(cm/s/s)
INITIAL TIME = 2016 04 14 22 06 10
 NS,EW,UD
-0.301,0.047,-0.075
-0.178,-0.055,-0.052
0.023,-0.037,0.035
0.177,0.110,0.110
0.196,0.241,0.110
0.066,0.188,0.050
-0.142,-0.046,-0.010
-0.312,-0.275,-0.036
-0.332,-0.304,-0.039
-0.177,-0.130,-0.039
0.051,0.070,-0.031
0.187,0.134,-0.004
0.116,0.049,0.031
-0.134,-0.069,0.051
-0.388,-0.112,0.051
-0.448,-0.054,0.051
-0.249,0.060,0.061
0.066,0.164,0.057
0.246,0.212,0.016
0.142,0.205,-0.038
-0.144,0.178,-0.054
-0.351,0.146,-0.007
-0.303,0.066,0.058
-0.070,-0.096,0.077
0.128,-0.282,0.029
0.153,-0.352,-0.034
0.055,-0.227,-0.058
-0.045,0.012,-0.031
-0.104,0.203,0.011
-0.164,0.265,0.037
-0.225,0.244,0.045
-0.215,0.200,0.041
-0.103,0.123,0.025
0.018,-0.018,-0.001
0.023,-0.161,-0.021
-0.089,-0.177,-0.004
-0.187,-0.036,0.055
-0.171,0.116,0.112
-0.096,0.107,0.100
-0.086,-0.062,0.002
-0.143,-0.216,-0.123
-0.153,-0.189,-0.176
-0.049,-0.016,-0.103
0.072,0.132,0.045
0.060,0.139,0.157
-0.083,0.046,0.158
-0.191,-0.034,0.067
-0.140,-0.039,-0.030
-0.001,0.018,-0.066
0.053,0.107,-0.034
-0.040,0.192,0.032
-0.156,0.210,0.105
-0.161,0.097,0.158
-0.078,-0.118,0.158
-0.055,-0.284,0.075
-0.164,-0.252,-0.061
-0.303,-0.050,-0.167
-0.304,0.130,-0.169
-0.139,0.139,-0.086
0.042,0.017,-0.006
0.085,-0.066,0.011
-0.005,-0.025,-0.003
-0.082,0.061,0.021
-0.047,0.083,0.099
0.034,0.042,0.173
0.019,0.033,0.178
-0.119,0.093,0.117
-0.234,0.130,0.040
-0.172,0.047,-0.019
0.031,-0.120,-0.069
0.165,-0.224,-0.114
0.057,-0.149,-0.130
-0.226,0.062,-0.079
-0.444,0.257,0.031
-0.405,0.310,0.139
-0.151,0.213,0.169
0.100,0.045,0.106
0.169,-0.099,-0.001
0.050,-0.163,-0.076
-0.120,-0.137,-0.075
-0.214,-0.058,-0.014
-0.206,0.011,0.048
-0.155,0.016,0.064
-0.109,-0.030,0.026
-0.070,-0.071,-0.029
-0.018,-0.048,-0.059
0.037,0.027,-0.045
0.055,0.099,-0.002
0.015,0.113,0.042
-0.050,0.066,0.070
-0.093,-0.002,0.078
-0.115,-0.054,0.076
-0.164,-0.060,0.075
-0.264,-0.007,0.081
-0.352,0.089,0.083
-0.323,0.171,0.062
-0.155,0.164,-0.000
0.039,0.053,-0.100
0.118,-0.093,-0.190
0.046,-0.165,-0.210
-0.066,-0.105,-0.123
-0.091,0.043,0.040
-0.023,0.175,0.190
0.041,0.197,0.232
0.013,0.090,0.146
-0.083,-0.085,0.003
-0.159,-0.219,-0.096
-0.165,-0.211,-0.100
-0.132,-0.061,-0.039
-0.111,0.119,0.020
-0.105,0.183,0.050
-0.078,0.084,0.066
-0.017,-0.073,0.082
0.024,-0.137,0.086
-0.017,-0.055,0.057
-0.134,0.091,0.009
-0.238,0.185,-0.021
-0.244,0.191,-0.012
-0.160,0.157,0.008
-0.076,0.114,0.003
-0.050,0.036,-0.021
-0.036,-0.103,-0.023
0.047,-0.246,0.018
0.176,-0.271,0.069
0.203,-0.122,0.075
0.016,0.109,0.025
-0.283,0.241,-0.031
-0.446,0.163,-0.050
-0.325,-0.052,-0.037
-0.056,-0.213,-0.030
0.085,-0.170,-0.049
-0.030,0.049,-0.063
-0.244,0.274,-0.035
-0.308,0.330,0.037
-0.148,0.189,0.113
0.074,-0.027,0.158
0.161,-0.150,0.159
0.077,-0.107,0.128
-0.062,0.033,0.073
-0.137,0.123,0.005
-0.131,0.067,-0.055
-0.092,-0.099,-0.074
-0.064,-0.250,-0.043
-0.065,-0.266,0.012
-0.108,-0.122,0.046
-0.192,0.111,0.037
-0.268,0.319,0.005
-0.271,0.399,-0.016
-0.181,0.303,-0.013
-0.056,0.075,-0.009
0.028,-0.159,-0.035
0.038,-0.255,-0.092
-0.004,-0.157,-0.136
-0.066,0.043,-0.114
-0.131,0.175,-0.014
-0.171,0.139,0.110
-0.142,-0.010,0.180
-0.032,-0.125,0.155
0.088,-0.107,0.069
0.106,0.005,0.002
-0.014,0.099,0.000
-0.173,0.105,0.041
-0.223,0.033,0.069
-0.108,-0.061,0.054
0.062,-0.134,0.021
0.128,-0.161,0.011
0.025,-0.122,0.030
-0.164,-0.021,0.055
-0.314,0.093,0.053
-0.366,0.152,0.023
-0.339,0.127,-0.020
-0.265,0.068,-0.065
-0.134,0.043,-0.105
0.048,0.068,-0.123
0.207,0.096,-0.093
0.227,0.091,-0.011
0.065,0.071,0.079
-0.175,0.068,0.120
-0.325,0.065,0.087
-0.292,0.015,0.019
-0.138,-0.085,-0.025
-0.005,-0.163,-0.014
